text_matches,pnumber
Rumex rupestris,16
Xanthoria species,20
Quercus robor,20
Oedipoda caerulescens,22
Matthiola sinuata,22
Haliotis tuberculata,22
Pedicularis sylvatica,23
Osmia aurulenta,23
Althaea officinalis,25
Apium graveolens,25
Baldellia ranunculoides,26
Menyanthes trifoliata,26
Alisma plantago,26
Anagallis tenella,26
Calystegia soldanella,28
Myosotis secunda,28
Thymus polytrichus,28
Centaurium erythraea,28
Rhinanthus minor,30
Erica cinerea,38
Calluna vulgaris,38
Erica cinerea,38
Calluna vulgaris,38
Potentilla erecta,38
Cladonia species,38
Potentilla erecta,38
Cladonia species,39
Invertebrate species,39
Polytrichum juniperinum,39
Saturnia pavonia,39
Cladonia spp,39
Cladonia chlorophaea,39
Ulex gallii,41
Ulex europaeus,41
Ulex nanus,41
Pedicularis sylvatica,41
Ornithopus pinnatus,41
Anthus pratensis,42
Saxicola rubicola,42
Linaria cannabina,42
Andrena species,45
Lasius flavus,45
Stenodema spp,45
Polyommatus icarus,45
Lycaena phlaeus,45
Pyronia tythonus,45
Pararge aegeria,45
Sturnus vulgaris,49
Turdus viscivorus,49
Turdus philomelos,49
Hypericum perforatum,52
Danthonia decumbens,52
Conopodium majus,52
Scorzoneroides autumnalis,53
Tetragnatha spp,55
Ophioglossum vulgatum,56
Trifolium fragiferum,56
Gallinago gallinago,56
Gryllotalpa gryllotalpa,57
Equisetum fluviatile,58
Agonum marginatum,58
Cicadella viridis,58
Carex panicea,59
Potentilla palustris,59
Equisetum fluviatile,59
Ranunculus hederaceus,60
Lymnocryptes minimus,60
Emberiza schoeniclus,63
Acrocephalus scirpaceus,63
Osmia aurulenta,65
Bombus terrestris,65
Theba pisana,65
Milium vernale,66
Silene conica,66
Asparagus prostratus,66
Crioceris asparagi,66
Ophrys apifera,67
Bupleurum baldense,67
Orchis mascula,67
Osmia aurulenta,68
Cornu aspersum,68
Exaculum pusillum,70
Cicendia filiformis,70
Centaurium pulchellum,71
Armeria maritima,72
Carpobrotus edulis,73
Bombus terrestris,73
Bombus lapidarius,73
Isoetes histrix,74
Ophioglossum azoricum,74
Ophioglossum vulgatum,74
Ophioglossum lusitanicum,74
Viola kitaibeliana,75
Chlorissa cloraria,75
Melitaea cinxia,75
Formica pratensis,76
Oedipoda caerulescens,76
Alauda arvensis,76
Papaver dubium,81
Fumaria officinalis,81
Ranunculus sardous,81
Ranunculus parviflorus,82
Viola arvensis,82
Myosotis arvensis,82
Streptopelia turtur,83
Primula vulgaris,85
Viola riviniana,85
Jasione montana,85
Lunularia cruciata,85
Colletes hederae,86
Phyllitis scolopendrium,88
Asplenium obovatum,88
Asplenophyllitis microdon,88
Asplenium adiantum,88
Hieracium umbellatum,88
Torilis japonica,89
Knautia arvensis,89
Campanula portenschlagiana,91
Tortula muralis,91
Bryum capillare,91
Homalothecium sericeum,91
Grimmia pulvinata,91
Megachile centuncularis,91
Luffia lapidella,91
Lasius emarginatus,91
Polyxenus lagurus,91
Bryum capillare,91
Diploicia canescens,92
Cymbalaria muralis,92
Erigeron karvinskianus,92
Diploicia canescens,92
Trachelium caeruleum,92
Diploicia close,92
Typhoeus typhoeus,94
Agaricus campestris,94
Calvatia gigantea,94
Scathophaga stercoraria,95
Geotrupes spiniger,95
Sphaeridium species,95
Geotrupes spiniger,95
Mesembrina meridiana,95
Copris lunaris,97
Asilus crabroniformis,97
Rhinolophus ferrumequinum,97
Odynerus reniformis,99
Philanthus triangulum,99
Evernia prunastri,100
Ramalina spp,100
Tuberolachnus salignus,101
Teloschistes chrysophthalmus,102
Sylvia undata,102
Hyacinthoides non,104
Mnium hornum,104
Ruscus aculeatus,104
Chiloscyphus polyanthus,104
Dryopteris filix,105
Dryopteris dilatata,105
Asplenium scolopendrium,105
Dryopteris affinis,105
Polystichum setiferum,105
Polypodium interjectum,105
Argonemertes dendyi,106
Arcitalitrus dorrieni,106
Stenamma westwoodi,106
Stenamma debile,106
Myrmecina graminicola,106
Elasmucha grisea,106
Cossus cossus,106
Osmunda regalis,108
Pyrrhula pyrrhula,108
Muscicapa striata,108
Scolopax rusticola,109
Amanita gemmata,110
Potamogeton species,112
Myriophyllum species,112
Human activities,112
Little grebes,113
Potamogeton crispus,113
Ranunculus sceleratus,113
Lemna minor,113
Pyrrhosoma nymphula,113
Simocephalus vetulus,113
Ranunculus trichophyllus,115
Ranunculus peltatus,115
Ranunculus peltatus,115
Ranunculus baudotii,115
Myriophyllum alterniflorum,115
Potamogeton polygonifolius,116
Potamogeton natans,116
Menyanthes trifoliata,116
Cypris bispinosa,117
Hydrophilus piceus,117
Gyrinus sp,117
Gyrinus caspius,117
Gyrinus urinator,117
Palaemon varians,118
Ranunculus baudotii,119
Ranunculus peltatus,119
Liancalus virens,121
Stellaria uliginosa,121
Anagallis tenella,122
Carex viridula,122
Nasturtium officinale,124
Apium nodiflorum,124
Conocephalum conicum,125
Veronica beccabunga,126
Stachys palustris,126
Hypericum elodes,126
Gasterosteus aculeatus,127
Anguilla anguilla,127
Motacilla cinerea,127
Salicornia ramosissima,130
Suaeda maritima,130
Campiglossa plantaginis,130
Aster tripolium,130
Bolboschoenus maritimus,130
Glaux maritima,131
Juncus gerardii,131
Plantago major,131
Spergularia marina,131
Gronops lunatus,131
Atriplex portulacoides,131
Plantago major,132
Chenopodium chenopodioides,132
Salicornia spp,133
Salicornia ramosissima,133
Glaux maritima,133
Apium graveolens,133
Atriplex littoralis,134
Bolboschoenus maritimus,134
Aster tripolium,134
Elytrigia juncea,136
Honckenya peploides,137
Cakile maritima,137
Eryngium maritimum,138
Calystegia soldanella,138
Ammophila arenaria,138
Megachile leachella,139
Broscus cephalotes,139
Polygonum oxyspermum,141
Euphorbia paralias,141
Matthiola sinuata,141
Glaucium flavum,143
Cakile maritima,143
Pseudomogoplistes vicentae,144
Pseudomogoplistes vicentae,144
Pseudomogoplistes vicentae,146
Glaucium flavum,146
Charadrius hiaticula,146
Haematopus ostralegus,147
Armeria maritima,149
Plantago maritima,149
Inula crithmoides,149
Atriplex portulacoides,149
Crithmum maritimum,149
Sedum anglicum,149
Limonium binervosum,149
Verrucaria maura,150
Ramalina siliquosa,150
Rhizocarpon geographicum,150
Luffia lapidella,151
Carpobrotus edulis,151
Teloschistes flavicans,152
Rumex rupestris,152
Carex distans,152
Carex punctata,153
Gunnera grows,153
Carex extensa,153
Schoenus nigricans,153
Phalacrocorax aristotelis,154
Sterna hirundo,154
Halictus tumulorum,155
Megachile maritima,155
Colletes hederae,155
Megachile leachella,155
Cicindela campestris,156
Riparia riparia,157
Lanice conchilega,158
Lanice conchilega,158
Arenicola sp,158
Arenicola sp,158
Laevicardium crassum,159
Pomatoschistus minutus,159
Laevicardium crassum,159
Glycymeris glycymeris,159
Symsagittifera roscoffensis,160
Eulalia viridis,160
Calidris alpina,162
Numenius arquata,162
Branta bernicla,162
Verrucaria maura,165
Chondrus crispus,165
Patella vulgata,166
Phorcus lineatus,166
Calliostoma zizyphinum,166
Gibbula magus,166
Ligia oceanica,166
Actinia fragacea,167
Halichondria panicea,167
Botryllus schlosseri,167
Eulalia viridis,167
Corynactis viridis,167
Littorina spp,167
Spirorbis spp,167
Patella pellucida,168
Tricolia pullus,168
Carcinus maenas,168
Cancer pagurus,168
Pagurus bernhardus,168
Galathea squamifera,168
Asterina gibbosa,168
Anemonia viridis,168
Epizoanthus couchii,168
Aiptasia mutabilis,168
Palaemon serratus,168
Botryllus schlosseri,168
Eulalia viridis,169
Asparagopsis armata,169
Haliotis tuberculata,170
Arenaria interpres,170
Broscus cephalotes,171
Talitrus saltator,171
Zostera marina,173
Zostera marina,173
Calvadosia campanulata,173
Zostera marina,173
Zostera noltei,173
Dictyota dichotoma,176
Psamathe fusca,176
Mediomastus fragilis,176
Chone duneri,176
Metaphoxus fultoni,176
Calyptraea chinensis,177
Patella pellucida,178
Saccorhiza polyschides,178
Palmaria palmata,179
Membranipora membranacea,179
Lophius piscatorius,179
Tubularia indivisa,179
Tursiops truncatus,182
Bugula neritina,182
Delphinus delphis,182
Grampus griseus,182
Sepia officinalis,183
Ophiothrix fragilis,183
Okenia elegans,183
Pentapora foliacea,183
Palinurus elephas,184
Eunicella verrucosa,184
Cetorhinus maximus,184
Lamna nasus,185
Scyliorhinus stellaris,185
Raja brachyura,185
Raja clavata,186
Raja undulata,186
Raja microocellata,186
Phocoena phocoena,187
Delphinus delphis,187
Apus apus,190
Hirundo rustica,190
Delichon urbicum,190
Passer domesticus,191
Plecotus austriacus,191
Chlorissa cloraria,193
